sid,sense_lemma,num_relations,sense_def
06667101,單位,428,作為計算特定對象的標準的基本量。
06628201,名稱,351,人所取的用來代表特定種類的事物的指稱。
06722201,地方,220,具有特定特質所描述的，或以特定地點為參考點的區域範圍。
07025301,組織,154,依照特定宗旨和系統成立的團體。
06560101,時間,147,由過去、現在、未來所構成的連綿不斷的系統。
08031101,區域,143,具有特定特質所描述的，或以特定地點為參考點的區域範圍。
06584001,快樂,121,形容感到享受和高興的。
14261901,悲傷,117,形容因為負面事物而感到低落的情緒。
05186501,關係,111,人和人之間在社會或群體中的關聯性。
05194801,害怕,106,對自己所不能掌握的事感到不安。
06612301,作品,104,文學藝術等創作的成品。
04143801,后,100,君王的妻子中位階最高的。
14466301,物理,100,物體的性質、狀態、運動等變動。
06777401,井,90,易經卦名，易經六十四卦之一，巽下坎上。
14586201,設備,87,具有特定功能的裝置或配備。
06763701,生氣,85,形容因不符合自己的心意而產生不愉快的情緒。
06641001,國家,82,擁有領土、人民、主權和政府四個要素的政治組織。
13340201,舉止,81,言語行為。
14308501,評價,81,對於人、事、物的優劣、善惡美醜或合不合理作一個結論。
08012001,比,80,易經卦名，易經六十四卦之一，坤下坎上。
08012101,觀,79,易經卦名，易經六十四卦之一，坤下巽上。
08000501,剝,77,易經卦名，易經六十四卦之一，坤下艮上。
07124501,泰,77,易經卦名，易經六十四卦之一，乾下坤上。
05033402,咸,76,易經卦名，易經六十四卦之一，艮下兌上。
08012601,豐,76,易經卦名，易經六十四卦之一，震上離下。
06505501,文化,76,透過歷史累積，為特定社會所共享的知識或價值的總合。
05033704,益,75,易經卦名，易經六十四卦之一，震下巽上。
06623504,旅,75,易經卦名，易經六十四卦之一，艮下離上。
04019408,隨,75,易經卦名，易經六十四卦之一，震下兌上。
06560103,時間,75,時間的一個段落。
06567909,師,74,易經卦名，易經六十四卦之一，坎下坤上。
06514405,解,74,易經卦名，易經六十四卦之一，坎下震上。
03013605,復,74,易經卦名，易經六十四卦之一，震下坤上。
04013208,臨,73,易經卦名，易經六十四卦之一，兌下坤上。
03023112,節,73,易經卦名，易經六十四卦之一，兌下坎上。
06658201,植物,71,可自行製造養分，沒有神經、感覺且不能運動的生物。
06750901,空間,71,物體存在的範圍，由長度、寬度、高度所構成的無限延伸的系統，通常和時間相對。
06694501,人類,69,軀幹直立，用雙腳行走的高等動物，具備思考能力，有語言文字，能進行社交活動。
06690801,建築物,69,人工建造的供人類活動的房屋。
06526101,食物,64,可供食用的對象的通稱。
07059601,獸,62,四隻腳、全身有毛的脊椎動物的總稱。
08016001,升,58,易經卦名，易經六十四卦之一，坤上巽下。
08020201,否,58,形容對特定對象的評價是負面的。
05231101,人,56,軀幹直立，用雙腳行走的高等動物，具備思考能力，有語言文字，能進行社交活動。
06745601,情緒,55,因外界刺激而引發的特定心理狀態。
04124301,死掉,54,形容生物失去生命。
05226801,動物,53,可自行攝取有機物為食物，有神經、感覺、且能運動的生物。
06627514,過去,51,形容生物失去生命。
06771901,狀況,51,前述事件呈現出來的狀態。
06562105,逝,50,比喻生物失去生命。
05224606,走,50,比喻生物失去生命。
09064701,晉,50,狀態的等級或地位增高。
06677901,動,50,物體改變原來的位置或脫離靜止狀態。
09035402,昌,49,形容生命持續。
06701421,掛,49,形容生物失去生命。
06513708,弱,49,形容生物失去生命。
06578603,回去,49,比喻生物失去生命。
06725002,活,48,形容生命持續。
09198201,斃,48,形容生物失去生命。
